ID fire,ID definition,definition,canton,ID municipality,municipality code,municipality,ID current municipality,current municipality code,current municipality,start date,ID accuracy start date,accuracy start date,date end of fire,ID accuracy end date,accuracy end date,start date (solar time),end date (solar time),locality,coordinates x,coordinates y,ID accuracy coordinates,accuracy coordinates,altitude [m asl],ID exposition,exposition,slope [%],forest [ha],grassland [ha],nonproductive [ha],total [ha],ID Cause,cause,other cause,ID cause reliability,cause reliability
199006031851,1,forest fire,GR,14294,3831,Cama,16019,3831,Cama,1990-06-03 14:00:00.0,1.0,minute,1990-06-03 18:03:00.0,1.0,minute,1990-06-03 13:00:00.0,1990-06-03 17:03:00.0,Mont (val Norantola),734520.0,126920.0,,,584.0,3.0,W,92.0,0.3,0.0,0.0,0.3,1.0,unknown,,1.0,sure
199006032101,1,forest fire,TI,13011,5018,Sant'Antonio,16078,5002,Bellinzona,1990-06-03 22:00:00.0,1.0,minute,1990-06-03 23:05:00.0,1.0,minute,1990-06-03 21:00:00.0,1990-06-03 22:05:00.0,monti di Pian dolce,,,,,,,,,,,,,5.0,"private (tourists, hickers,thrown cigarettes,other)",,1.0,sure
199006272301,1,forest fire,VS,12089,6133,Fully,12089,6133,Fully,1990-06-27 00:00:00.0,3.0,day,,9.0,date unknown,1990-06-26 23:00:00.0,,,577050.0,111500.0,4.0,< 50 m,500.0,8.0,SE,,0.0,0.1,,0.1,15.0,other known cause,,1.0,sure
199007012101,1,forest fire,TI,12809,5039,Lottigna,14492,5048,Acquarossa,1990-07-01 05:03:00.0,1.0,minute,1990-07-01 16:03:00.0,1.0,minute,1990-07-01 04:03:00.0,1990-07-01 15:03:00.0,val Ortighera,716360.0,146820.0,,,1140.0,3.0,W,60.0,0.01,0.0,0.0,0.01,2.0,lightning,,1.0,sure
199007072101,1,forest fire,TI,11435,5004,Camorino,16078,5002,Bellinzona,1990-07-07 06:25:00.0,1.0,minute,1990-07-07 08:03:00.0,1.0,minute,1990-07-07 05:25:00.0,1990-07-07 07:03:00.0,Comelina,720500.0,113120.0,,,280.0,4.0,NW,40.0,0.01,0.0,0.0,0.01,10.0,rail,,1.0,sure
199007132101,1,forest fire,TI,12506,5043,Olivone,14918,5049,Blenio,1990-07-13 17:03:00.0,1.0,minute,1990-07-13 20:00:00.0,1.0,minute,1990-07-13 16:03:00.0,1990-07-13 19:00:00.0,Lucomagno 'ai Pini',705940.0,155840.0,,,1820.0,2.0,SW,10.0,0.01,0.0,0.0,0.01,5.0,"private (tourists, hickers,thrown cigarettes,other)",,1.0,sure
199007152301,1,forest fire,VS,11686,6231,Ayer,14962,6252,Anniviers,1990-07-15 10:00:00.0,2.0,hour,1990-07-15 13:59:59.0,2.0,hour,1990-07-15 09:00:00.0,1990-07-15 12:59:59.0,Pralonzet,614800.0,109600.0,3.0,50-500 m,1750.0,3.0,W,,0.5,0.0,,0.5,5.0,"private (tourists, hickers,thrown cigarettes,other)",,1.0,sure
199007161852,1,forest fire,GR,14291,3821,Lostallo,16016,3821,Lostallo,1990-07-16 12:30:00.0,1.0,minute,1990-07-17 00:59:00.0,1.0,minute,1990-07-16 11:30:00.0,1990-07-16 23:59:00.0,Costa della Pontada,736840.0,128200.0,,,1685.0,4.0,NW,63.0,0.1,0.0,0.0,0.1,2.0,lightning,,0.0,supposed
199007162101,1,forest fire,TI,13224,5111,Intragna,14973,5397,Centovalli,1990-07-16 19:00:00.0,1.0,minute,1990-07-25 17:00:00.0,1.0,minute,1990-07-16 18:00:00.0,1990-07-25 16:00:00.0,Torsedo-Cremaso,696680.0,115260.0,,,600.0,8.0,SE,58.0,8.0,0.0,0.0,8.0,5.0,"private (tourists, hickers,thrown cigarettes,other)",,1.0,sure
199007162102,1,forest fire,TI,11719,5061,Airolo,11719,5061,Airolo,1990-07-16 20:00:00.0,1.0,minute,1990-07-17 00:00:00.0,1.0,minute,1990-07-16 19:00:00.0,1990-07-16 23:00:00.0,Culiscio,,,,,,,,,,,,,1.0,unknown,,1.0,sure
199007182601,1,forest fire,JU,13285,6714,Glovelier,15624,6729,Haute-Sorne,1990-07-18 00:00:00.0,3.0,day,1990-07-18 00:00:00.0,3.0,day,1990-07-17 23:00:00.0,1990-07-17 23:00:00.0,[le long de la route menant à Saulcy],580200.0,241000.0,2.0,500-1000 m,,,,,,,,,7.0,forestry ,,1.0,sure
199007211851,1,forest fire,GR,14271,3776,Vicosoprano,16052,3792,Bregaglia,1990-07-21 17:00:00.0,1.0,minute,1990-07-21 19:00:00.0,1.0,minute,1990-07-21 16:00:00.0,1990-07-21 18:00:00.0,Spazzacaldeira,768550.0,134150.0,,,1815.0,3.0,W,86.0,0.05,0.0,0.0,0.05,11.0,electric line,,0.0,supposed
199007222101,1,forest fire,TI,11494,5003,Cadenazzo,14518,5003,Cadenazzo,1990-07-22 11:45:00.0,1.0,minute,1990-07-28 22:03:00.0,1.0,minute,1990-07-22 10:45:00.0,1990-07-28 21:03:00.0,Revoira,717400.0,111740.0,,,400.0,3.0,W,35.0,0.5,0.0,0.0,0.5,10.0,rail,,0.0,supposed
199007232301,1,forest fire,VS,12533,6007,Naters,15617,6007,Naters,1990-07-23 17:00:00.0,2.0,hour,,9.0,date unknown,1990-07-23 16:00:00.0,,Sonnhalde (en dessus de la Kerstrasse,,,,,,,,,0.0,0.5,,0.5,6.0,children,,1.0,sure
199007252301,1,forest fire,VS,12871,6140,Saillon,12871,6140,Saillon,1990-07-25 06:30:00.0,1.0,minute,,9.0,date unknown,1990-07-25 05:30:00.0,,Sinlio,578100.0,113200.0,3.0,50-500 m,1300.0,8.0,SE,,0.03,0.0,,0.03,1.0,unknown,,,
199007262101,1,forest fire,TI,12612,5112,Lavertezzo,12612,5112,Lavertezzo,1990-07-26 13:03:00.0,1.0,minute,1990-07-29 14:03:00.0,1.0,minute,1990-07-26 12:03:00.0,1990-07-29 13:03:00.0,sasso Sambuco,709560.0,125500.0,,,1040.0,3.0,W,100.0,1.0,0.0,0.5,1.5,2.0,lightning,,1.0,sure
199007262301,1,forest fire,VS,12351,6179,Mörel,14960,6203,Mörel-Filet,1990-07-26 20:00:00.0,2.0,hour,1990-07-26 22:00:00.0,2.0,hour,1990-07-26 19:00:00.0,1990-07-26 21:00:00.0,Versant sud du Riederhorn,644600.0,134700.0,3.0,50-500 m,1850.0,8.0,SE,,0.0,0.0,,0.0,2.0,lightning,,1.0,sure
199007271852,1,forest fire,GR,14285,3804,Buseno,16012,3804,Buseno,1990-07-27 05:30:00.0,1.0,minute,1990-07-27 09:00:00.0,1.0,minute,1990-07-27 04:30:00.0,1990-07-27 08:00:00.0,Scarvi,729500.0,126500.0,,,1087.0,5.0,N,96.0,0.01,0.0,0.0,0.01,2.0,lightning,,1.0,sure
199007272101,1,forest fire,TI,10927,5132,Vergeletto,15686,5136,Onsernone,1990-07-27 20:03:00.0,1.0,minute,1990-07-30 17:03:00.0,1.0,minute,1990-07-27 19:03:00.0,1990-07-30 16:03:00.0,Sasso Archei,688850.0,121700.0,,,1400.0,2.0,SW,70.0,,,,,1.0,unknown,,1.0,sure
199007282301,1,forest fire,VS,10375,6292,St. Niklaus,10375,6292,St. Niklaus,1990-07-28 15:00:00.0,2.0,hour,1990-07-31 00:00:00.0,3.0,day,1990-07-28 14:00:00.0,1990-07-30 23:00:00.0,Fellwald,627900.0,110025.0,4.0,< 50 m,1650.0,7.0,E,,1.2,0.0,,1.2,1.0,unknown,,,
199007282401,1,forest fire,NE,12325,6482,Montmollin,16115,6487,Val-de-Ruz,1990-07-28 15:00:00.0,2.0,hour,1990-07-28 23:59:00.0,3.0,day,1990-07-28 14:00:00.0,1990-07-28 22:59:00.0,[route Montmollin - Corcelles],555500.0,204750.0,3.0,50-500 m,,1.0,S,,,,,,1.0,unknown,,,
199007282402,1,forest fire,NE,11649,6407,Corcelles-Cormondrèche,16090,6407,Corcelles-Cormondrèche,1990-07-28 15:00:00.0,2.0,hour,1990-07-28 23:59:00.0,3.0,day,1990-07-28 14:00:00.0,1990-07-28 22:59:00.0,Forêt de Dame Othenette,555360.0,204300.0,3.0,50-500 m,,8.0,SE,,,,,,1.0,unknown,,,
199007292101,1,forest fire,TI,11798,5304,Bosco/Gurin,11798,5304,Bosco/Gurin,1990-07-29 19:45:00.0,1.0,minute,1990-08-07 18:30:00.0,1.0,minute,1990-07-29 18:45:00.0,1990-08-07 17:30:00.0,Kanta,682820.0,130900.0,,,1840.0,1.0,S,60.0,0.33,0.0,0.33,0.66,2.0,lightning,,1.0,sure
199007312301,1,forest fire,VS,12776,6110,Leuk,15618,6110,Leuk,1990-07-31 22:00:00.0,2.0,hour,,9.0,date unknown,1990-07-31 21:00:00.0,,GRAFENHÖHE,616800.0,128975.0,4.0,< 50 m,800.0,1.0,S,,0.0,0.0,,0.0,6.0,children,,1.0,sure
199008010601,1,forest fire,OW,12063,1403,Giswil,12063,1403,Giswil,1990-08-01 00:00:00.0,3.0,day,1990-08-01 00:00:00.0,3.0,day,1990-07-31 23:00:00.0,1990-07-31 23:00:00.0,,,,4.0,< 50 m,,,,,,,,,4.0,not extinguished camping fires,,0.0,supposed
